               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066497,            0.029168,            0.044547,           0.0024435,             0.62613,           0.0075088,           0.0024841,            0.023067,            0.012284,              0.0215,              0.0865,              0.0015,              0.0015
                   1,            0.048526,            0.025814,            0.045843,             0.01427,             0.98452,            0.095631,            0.053143,            0.015751,           0.0080556,            0.021194,             0.07209,           0.0030898,           0.0030898
                   2,            0.035022,            0.022508,            0.041379,             0.11696,             0.36392,             0.13511,              0.1149,            0.019741,           0.0049385,            0.020241,            0.057669,            0.004669,            0.004669
                   3,            0.034966,            0.019167,            0.042556,            0.080664,             0.46579,             0.15847,             0.12799,            0.020771,           0.0052226,            0.020004,            0.043238,           0.0062376,           0.0062376
                   4,            0.032024,            0.017516,            0.040341,            0.041158,             0.32127,            0.075537,            0.041118,            0.025398,            0.005802,             0.02002,            0.028796,           0.0077957,           0.0077957
                   5,            0.030514,            0.016751,            0.039481,            0.086659,             0.33453,             0.13266,            0.075218,            0.015973,            0.004857,            0.019676,            0.014343,           0.0093433,           0.0093433
                   6,            0.029968,            0.016314,            0.042207,             0.11267,             0.37322,             0.18125,             0.11541,            0.010802,           0.0049596,            0.020065,            0.009802,            0.009802,            0.009802
                   7,            0.025509,            0.016088,            0.042963,             0.18352,             0.38147,             0.15414,             0.07996,            0.012361,           0.0056997,            0.020111,            0.009802,            0.009802,            0.009802
                   8,            0.025663,            0.016164,            0.041904,             0.14909,             0.53842,             0.22148,             0.15325,            0.014343,           0.0059825,            0.019318,            0.009769,            0.009769,            0.009769
                   9,             0.02503,            0.015116,            0.039995,             0.10676,             0.23403,             0.19629,             0.14263,            0.014417,           0.0039108,            0.019058,            0.009736,            0.009736,            0.009736
                  10,             0.02057,            0.013834,            0.036763,             0.23067,              0.5081,             0.33713,             0.20436,            0.015089,           0.0040739,            0.018669,            0.009703,            0.009703,            0.009703
                  11,             0.02441,            0.014306,            0.040384,             0.31478,             0.38764,             0.32486,             0.21101,            0.012467,           0.0046788,            0.017067,             0.00967,             0.00967,             0.00967
                  12,            0.022107,            0.013886,            0.035688,             0.44838,             0.37369,             0.39622,             0.22595,            0.010697,            0.003322,            0.017525,            0.009637,            0.009637,            0.009637
